Trial,stressor,time,distance,speed,,,
1,pH,180,17,0.094444444,,,
2,pH,180,61,0.338888889,,,
3,pH,180,68,0.377777778,,,
4,pH,180,77,0.427777778,,,
5,pH,180,24,0.133333333,,,
6,pH,180,69,0.383333333,,,
7,pH,180,95,0.527777778,,,
8,pH,180,80,0.444444444,,,
9,pH,180,65,0.361111111,,,
10,pH,180,70,0.388888889,,,
11,pH,180,73,0.405555556,,,
12,pH,180,135,0.75,,,
13,pH,180,58,0.322222222,,,
14,pH,180,110,0.611111111,,,
15,pH,180,47,0.261111111,,,
16,pH,180,5,0.027777778,,,
17,pH,180,74,0.411111111,,,
18,pH,180,55,0.305555556,,,
19,pH,180,100,0.555555556,,,
20,pH,180,89,0.494444444,,,
21,pH,180,109,0.605555556,,,
22,pH,180,72,0.4,,,
1,salinity,180,117,0.65,,,
2,salinity,180,98,0.544444444,,,
3,salinity,180,94,0.522222222,,,
4,salinity,180,80,0.444444444,,,
5,salinity,180,73,0.405555556,,,
6,salinity,180,123,0.683333333,,,
7,salinity,180,93,0.516666667,,,
8,salinity,180,97,0.538888889,,,
9,salinity,180,86,0.477777778,,,
10,salinity,180,80,0.444444444,,,
11,salinity,180,50,0.277777778,,,
12,salinity,180,114,0.633333333,,,
13,salinity,180,82,0.455555556,,,
14,salinity,180,70,0.388888889,,,
15,salinity,180,43,0.238888889,,,
16,salinity,180,31,0.172222222,,,
17,salinity,180,70,0.388888889,,,
18,salinity,180,61,0.338888889,,,
19,salinity,180,45,0.25,,,
20,salinity,180,40,0.222222222,,,
21,salinity,180,46,0.255555556,,,
22,salinity,180,75,0.416666667,,,
23,salinity,180,93,0.516666667,,,
1,Temperature,180,165,0.916666667,,,
2,Temperature,180,96,0.533333333,,,
3,Temperature,180,103,0.572222222,,,
4,Temperature,180,56,0.311111111,,,
5,Temperature,180,156,0.866666667,,,
6,Temperature,180,107,0.594444444,,,
7,Temperature,180,113,0.627777778,,,
8,Temperature,180,122,0.677777778,,,
9,Temperature,180,71,0.394444444,,,
10,Temperature,180,55,0.305555556,,,
11,Temperature,180,115,0.638888889,,,
12,Temperature,180,84,0.466666667,,,
